{M0, M+, g, gv,ch,cq,cl,c3,cvvw,cvvhh,cvvv,total_widthV0GeV,BRWW,BRhZ,BRuu,BRdd,BRll,BRnunu,BRbb,total_widthV+GeV,BRZW,BRWGam,BRWh,BRud,BRus,BRlnu,BRtb, CX+(pb), CX0(pb), CX-(pb)}
{1250., 1249.918963866109, 0.6445297043928628, 3., -0.976243, 1.02433, 1.02433, 1.02433, 1., -0.0240503, 0.928159, 41.165129384101554, 0.4621719277453435, 0.49806292387471657, 0.005111372483667286, 0.0048929422809191, 0.0017795911466631173, 0.00156116094391493, 0.004892743641047234, 0.004841518937985763, 41.13649853311489, 0.4685020821018581, 0., 0.4917764280941315, 0.009492986481319032, 0.0005092018540078065, 0.0033340627784422786, 0.009714924798029803, 0.10083957623210547, 0.06285440684272794, 0.031361913845168676}
{1300., 1299.929355016927, 0.644819363974999, 3., -0.976243, 1.02433, 1.02433, 1.02433, 1., -0.0240503, 0.928159, 42.492440772179435, 0.4633519092129615, 0.495803176413681, 0.0052373493389226864, 0.0050345476016140705, 0.0018159081464451234, 0.0016131064091365079, 0.005034357837103144, 0.0049797189884361265, 42.467415363870046, 0.469213700951682, 0., 0.4899776874708632, 0.009747477791681051, 0.000522852715864634, 0.0034234435025152286, 0.009997620054817836, 0.08410615651215533, 0.05186435254212826, 0.02562551629066492}
{1350., 1349.937980763178, 0.6450777315176172, 3., -0.976243, 1.02433, 1.02433, 1.02433, 1., -0.0240503, 0.928159, 43.838451757395674, 0.4643414776221747, 0.49384807366083827, 0.005349804389125553, 0.005161046034584816, 0.0018483350455007158, 0.0016595766909599787, 0.005160864997144567, 0.0051041476630396525, 43.81643117769724, 0.4697847231176414, 0., 0.48843528685429266, 0.00997465337011414, 0.000535038367445521, 0.0035032305791865533, 0.010250914815386963, 0.07019580597407304, 0.042851862497573084, 0.02097234097015039}
{1400., 1399.9452129299539, 0.6453091475973789, 3., -0.976243, 1.02433, 1.02433, 1.02433, 1., -0.0240503, 0.928159, 45.200092261387425, 0.46517977993139725, 0.49214280176175723, 0.005450627445086333, 0.00527452928422075, 0.001877414556148467, 0.0017013163952828835, 0.00527435671331902, 0.005216555280618378, 45.180599898653846, 0.4702475211487563, 0., 0.4871008234896695, 0.010178334090556523, 0.0005459637596473328, 0.003574765950067953, 0.01047876181096269, 0.058629912378070664, 0.03545306859928534, 0.01718959162195615}
{1450., 1449.9513303594852, 0.645517227049191, 3., -0.976243, 1.02433, 1.02433, 1.02433, 1., -0.0240503, 0.928159, 46.57496757007577, 0.46589633754176235, 0.49064481504835983, 0.005541382099342618, 0.005376732807505179, 0.0019035957840891496, 0.001738946492251711, 0.005376568374603962, 0.005318422392555672, 46.55762039328694, 0.47062594506960154, 0., 0.4859371590271189, 0.010361679931908327, 0.0005557983930922114, 0.0036391594416668458, 0.010684460928277935, 0.04900762967638825, 0.029374074862038836, 0.014113488379461856}
{1500., 1499.9565456846433, 0.645704999552847, 3., -0.976243, 1.02433, 1.02433, 1.02433, 1., -0.0240503, 0.928159, 47.96117547179581, 0.46651377404624644, 0.489320574435674, 0.005623373380156165, 0.005469108384869895, 0.0019272536608847277, 0.001772988665598457, 0.005468951723504559, 0.005411009285073212, 47.94566221585143, 0.47093784444248776, 0., 0.48491533340340354, 0.010527327495336015, 0.00056468369452767, 0.0036973370632878946, 0.010870788584517593, 0.040996033662888384, 0.024369779162549624, 0.011608002584936999}
{1550., 1549.9610234290008, 0.6458750195088362, 3., -0.976243, 1.02433, 1.02433, 1.02433, 1., -0.0240503, 0.928159, 49.35718117803106, 0.4670496736320641, 0.4881432826210133, 0.005697698813043471, 0.005552879273569164, 0.0019487035937583237, 0.001803884054284017, 0.005552729999745664, 0.005495394629824491, 49.343246390918736, 0.4711967634436513, 0., 0.4840124432491417, 0.010677493649281668, 0.0005727385763237015, 0.0037500774085351234, 0.011040096630390924, 0.03431968512311763, 0.02024505145353349, 0.009563862853734714}
{1600., 1599.9648925379265, 0.6460294526219692, 3., -0.976243, 1.02433, 1.02433, 1.02433, 1., -0.0240503, 0.928159, 50.761729450161376, 0.46751787622702595, 0.4870912743548327, 0.005765287642864878, 0.005629082818078117, 0.0019682127111668012, 0.0018320078863800387, 0.005628940543999959, 0.005572506159614905, 50.74916162625449, 0.4714131057630579, 0., 0.48321014872058976, 0.010814055049619005, 0.0005800637019176874, 0.003798039583845563, 0.011194389261742306, 0.02875082362410514, 0.016840767071876924, 0.007890923242895484}
{1650., 1649.9682552352037, 0.646170144658815, 3., -0.976243, 1.02433, 1.02433, 1.02433, 1., -0.0240503, 0.928159, 52.173781417497054, 0.4679293980592213, 0.4861468490133499, 0.005826931401982789, 0.005698603819613014, 0.00198600862430596, 0.0018576810419361836, 0.0056984681627891415, 0.0056431453227217005, 52.16240403712624, 0.4715949507676808, 0., 0.4824936009848287, 0.010938610054959767, 0.0005867448069387763, 0.0038417849539661812, 0.011335383661794996, 0.02410494504674231, 0.014027032013614788, 0.0065208630454612546}
{1700., 1699.9711933971707, 0.646298676445884, 3., -0.976243, 1.02433, 1.02433, 1.02433, 1., -0.0240503, 0.928159, 53.592468217533465, 0.4682930974042678, 0.4852954088836586, 0.005883308027031242, 0.005762200970037067, 0.002002286338847031, 0.001881179281852856, 0.00576207155918127, 0.005708007296656151, 53.582132890482285, 0.4717486351169675, 0., 0.4818506579551222, 0.01105252753654206, 0.0005928553173603128, 0.003881794284634125, 0.011464558366203139, 0.02021560498106415, 0.011697154187622925, 0.005395893709920445}
